Date & Time,MW
"Saturday, January 23, 2021",230
"Saturday, January 23, 2021",280
"Saturday, January 23, 2021",280
"Saturday, January 23, 2021",280
"Saturday, January 23, 2021",263
"Saturday, January 23, 2021",264
"Saturday, January 23, 2021",216
"Saturday, January 23, 2021",220
"Saturday, January 23, 2021",88
"Saturday, January 23, 2021",4
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",180
"Sunday, January 24, 2021",240
"Sunday, January 24, 2021",252
"Sunday, January 24, 2021",252
"Sunday, January 24, 2021",244
"Sunday, January 24, 2021",244
"Sunday, January 24, 2021",244
"Sunday, January 24, 2021",228
"Sunday, January 24, 2021",69
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Sunday, January 24, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",16
"Monday, January 25, 2021",140
"Monday, January 25, 2021",237
"Monday, January 25, 2021",237
"Monday, January 25, 2021",237
"Monday, January 25, 2021",237
"Monday, January 25, 2021",237
"Monday, January 25, 2021",237
"Monday, January 25, 2021",237
"Monday, January 25, 2021",227
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Monday, January 25, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",4
"Tuesday, January 26, 2021",199
"Tuesday, January 26, 2021",265
"Tuesday, January 26, 2021",265
"Tuesday, January 26, 2021",265
"Tuesday, January 26, 2021",265
"Tuesday, January 26, 2021",265
"Tuesday, January 26, 2021",265
"Tuesday, January 26, 2021",220
"Tuesday, January 26, 2021",68
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Tuesday, January 26, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",13
"Wednesday, January 27, 2021",104
"Wednesday, January 27, 2021",161
"Wednesday, January 27, 2021",181
"Wednesday, January 27, 2021",181
"Wednesday, January 27, 2021",212
"Wednesday, January 27, 2021",175
"Wednesday, January 27, 2021",220
"Wednesday, January 27, 2021",59
"Wednesday, January 27, 2021",40
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Wednesday, January 27, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",66
"Thursday, January 28, 2021",208
"Thursday, January 28, 2021",218
"Thursday, January 28, 2021",273
"Thursday, January 28, 2021",273
"Thursday, January 28, 2021",258
"Thursday, January 28, 2021",258
"Thursday, January 28, 2021",258
"Thursday, January 28, 2021",258
"Thursday, January 28, 2021",72
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Thursday, January 28, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",60
"Friday, January 29, 2021",60
"Friday, January 29, 2021",288
"Friday, January 29, 2021",288
"Friday, January 29, 2021",288
"Friday, January 29, 2021",268
"Friday, January 29, 2021",268
"Friday, January 29, 2021",144
"Friday, January 29, 2021",119
"Friday, January 29, 2021",60
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Friday, January 29, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",212
"Saturday, January 30, 2021",292
"Saturday, January 30, 2021",292
"Saturday, January 30, 2021",280
"Saturday, January 30, 2021",268
"Saturday, January 30, 2021",268
"Saturday, January 30, 2021",268
"Saturday, January 30, 2021",268
"Saturday, January 30, 2021",108
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Saturday, January 30, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",56
"Sunday, January 31, 2021",200
"Sunday, January 31, 2021",200
"Sunday, January 31, 2021",284
"Sunday, January 31, 2021",284
"Sunday, January 31, 2021",271
"Sunday, January 31, 2021",260
"Sunday, January 31, 2021",268
"Sunday, January 31, 2021",256
"Sunday, January 31, 2021",248
"Sunday, January 31, 2021",2
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Sunday, January 31, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",0
"Monday, February 01, 2021",60
"Monday, February 01, 2021",216
"Monday, February 01, 2021",216
"Monday, February 01, 2021",284
"Monday, February 01, 2021",284
"Monday, February 01, 2021",264
"Monday, February 01, 2021",272
